Previous HIOS PlanID,Reason for Crosswalk,New HIOS PlanID
57129MN0180121,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180122,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180123,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180124,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180125,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180126,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180127,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180128,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180129,Discontinuing product; enrollment into a different product,57129MN0220011
57129MN0180130,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180131,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180132,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180133,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180134,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180135,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180136,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180137,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180138,Discontinuing product; enrollment into a different product,57129MN0220012
57129MN0180139,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180140,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180141,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180142,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180143,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180144,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180145,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180146,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180147,Discontinuing product; enrollment into a different product,57129MN0220013
57129MN0180148,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180149,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180150,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180151,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180152,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180153,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180154,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180155,Discontinuing product; enrollment into a different product,57129MN0220014
57129MN0180156,Discontinuing product; enrollment into a different product,57129MN0220014
49316MN1070001,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070001
49316MN1070003,Renewing product; renewal in a different plan within the product,49316MN1070001
49316MN1070004,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070004
49316MN1070005,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070005
49316MN1070006,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070006
49316MN1070010,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070010
49316MN1070011,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070011
49316MN1070018,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070018
49316MN1070019,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070019
49316MN1070020,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070020
49316MN1070022,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070022
49316MN1070026,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070026
49316MN1070027,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070027
49316MN1070028,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070028
49316MN1070029,Renewing exact same product/plan combination (Same 2019 Plan ID),49316MN1070029
