REGION,Area,PLAN_TYPE,PARTICIPATION_MINIMUM,PARTICIPATION_MAXIMUM,MINIMUM_ENROLLED,PLAN_ID,TIERS,PRODUCT_ID,PRODUCT_NAME,INDIVIDUAL,TWO_PERSON,IND_PLUS_1_CHILD,IND_PLUS_CHILDREN,FAMILY,DOCUMENT_URL,EFFECTIVE_DATE,END_DATE,MAXIMUM_ENROLLED,VERSION,UNIQUE_IDENTIFIER,ORTHO,GrandfatherExpirationDate
MN,NON METRO,Freedom,20,69,25,AAFZGA4346625,THREE,2129626021,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,42.1,90,90,164.9,164.9,,1/1/2019,1/31/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4346626,THREE,2129626021,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,36.6,78.3,78.3,143.4,143.4,,1/1/2019,1/31/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4349727,THREE,2129626029,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,42.1,90,90,164.9,164.9,,2/1/2019,2/28/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4349728,THREE,2129626029,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,36.6,78.3,78.3,143.4,143.4,,2/1/2019,2/28/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4352529,THREE,2129626031,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,42.1,90,90,164.9,164.9,,3/1/2019,3/31/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4352530,THREE,2129626031,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,36.6,78.3,78.3,143.4,143.4,,3/1/2019,3/31/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4355631,THREE,2129626032,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,,4/1/2019,4/30/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4355632,THREE,2129626032,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,,4/1/2019,4/30/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4358633,THREE,2129626033,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,,5/1/2019,5/31/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4358634,THREE,2129626033,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,,5/1/2019,5/31/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4361735,THREE,2129626034,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,,6/1/2019,6/30/2019,50,0,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4361736,THREE,2129626034,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,,6/1/2019,6/30/2019,50,0,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4364737,Three,2129626036,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,7/1/2019,7/31/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4364738,Three,2129626036,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,7/1/2019,7/31/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4367839,Three,2129626038,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,8/1/2019,8/31/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4367840,Three,2129626038,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,8/1/2019,8/31/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4370941,Three,2129626039,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,9/1/2019,9/30/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4370942,Three,2129626039,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,9/1/2019,9/30/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4373943,Three,2129626040,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,10/1/2019,10/31/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4373944,Three,2129626040,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,10/1/2019,10/31/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4377045,Three,2129626041,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,11/1/2019,11/30/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4377046,Three,2129626041,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,11/1/2019,11/30/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,25,AAFZGA4380047,Three,2129626042,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,47.4,100.7,100.7,182,182,M00504R03,12/1/2019,12/31/2019,50,,,2000,
MN,NON METRO,Freedom,70,100,25,SSLP1Z4380048,Three,2129626042,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Non Metro,41.2,87.6,87.6,158.2,158.2,M00504R03,12/1/2019,12/31/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74346649,THREE,2129629575,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,36.3,78.2,78.2,146,146,,1/1/2019,1/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4346650,THREE,2129629575,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,31.6,68,68,127,127,,1/1/2019,1/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74349751,THREE,2129629577,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,36.3,78.2,78.2,146,146,,2/1/2019,2/28/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4349752,THREE,2129629577,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,31.6,68,68,127,127,,2/1/2019,2/28/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74352553,THREE,2129629578,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,36.3,78.2,78.2,146,146,,3/1/2019,3/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4352554,THREE,2129629578,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,31.6,68,68,127,127,,3/1/2019,3/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74355655,THREE,2129629580,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,,4/1/2019,4/30/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4355656,THREE,2129629580,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,,4/1/2019,4/30/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74358657,THREE,2129629581,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,,5/1/2019,5/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4358658,THREE,2129629581,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,,5/1/2019,5/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74361759,THREE,2129629582,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,,6/1/2019,6/30/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4361760,THREE,2129629582,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,,6/1/2019,6/30/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,051MD74364761,Three,2129629583,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,7/1/2019,7/31/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4364762,Three,2129629583,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,7/1/2019,7/31/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74367863,Three,2129629584,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,8/1/2019,8/31/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4367864,Three,2129629584,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,8/1/2019,8/31/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74370965,Three,2129629589,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,9/1/2019,9/30/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4370966,Three,2129629589,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,9/1/2019,9/30/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74373967,Three,2129629591,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,10/1/2019,10/31/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4373968,Three,2129629591,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,10/1/2019,10/31/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74377069,Three,2129629592,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,11/1/2019,11/30/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4377070,Three,2129629592,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,11/1/2019,11/30/2019,50,,,2000,
MN,METRO,Freedom,20,69,25,051MD74380071,Three,2129629593,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,38.4,82.4,82.4,152.7,152.7,M00504R03,12/1/2019,12/31/2019,50,,,2000,
MN,METRO,Freedom,70,100,25,OSTN2I4380072,Three,2129629593,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1000 Max 3-Tier Metro,33.4,71.7,71.7,132.8,132.8,M00504R03,12/1/2019,12/31/2019,50,,,2000,
MN,NON METRO,Freedom,20,69,10,6GYPVN4346673,THREE,2129629821,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,45.5,95.6,95.6,168.5,168.5,,1/1/2019,1/31/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4346674,THREE,2129629821,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,39.6,83.2,83.2,146.5,146.5,,1/1/2019,1/31/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4349775,THREE,2129629823,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,45.5,95.6,95.6,168.5,168.5,,2/1/2019,2/28/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4349776,THREE,2129629823,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,39.6,83.2,83.2,146.5,146.5,,2/1/2019,2/28/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4352577,THREE,2129629824,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,45.5,95.6,95.6,168.5,168.5,,3/1/2019,3/31/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4352578,THREE,2129629824,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,39.6,83.2,83.2,146.5,146.5,,3/1/2019,3/31/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4355679,THREE,2129629825,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,,4/1/2019,4/30/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4355680,THREE,2129629825,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,,4/1/2019,4/30/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4358681,THREE,2129629830,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,,5/1/2019,5/31/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4358682,THREE,2129629830,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,,5/1/2019,5/31/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4361783,THREE,2129629831,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,,6/1/2019,6/30/2019,50,0,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4361784,THREE,2129629831,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,,6/1/2019,6/30/2019,50,0,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4364785,Three,2129629832,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,7/1/2019,7/31/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4364786,Three,2129629832,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,7/1/2019,7/31/2019,50,,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4367887,Three,2129629833,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,8/1/2019,8/31/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4367888,Three,2129629833,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,8/1/2019,8/31/2019,50,,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4370989,Three,2129629834,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,9/1/2019,9/30/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4370990,Three,2129629834,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,9/1/2019,9/30/2019,50,,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4373991,Three,2129629835,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,10/1/2019,10/31/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4373992,Three,2129629835,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,10/1/2019,10/31/2019,50,,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4377093,Three,2129629836,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,11/1/2019,11/30/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4377094,Three,2129629836,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,11/1/2019,11/30/2019,50,,,1500,
MN,NON METRO,Freedom,20,69,10,6GYPVN4380095,Three,2129629838,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,51.2,107.2,107.2,187,187,M00504R03,12/1/2019,12/31/2019,50,,,1500,
MN,NON METRO,Freedom,70,100,10,VDB59H4380096,Three,2129629838,Freedom Enhanced w/Ortho $1500 $50/150 Ded $2000 Max 3-Tier Non Metro,44.6,93.2,93.2,162.6,162.6,M00504R03,12/1/2019,12/31/2019,50,,,1500,
MN,METRO,Freedom,20,69,25,J1E5TR4346697,THREE,2129630819,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,38,81.8,81.8,151.7,151.7,,1/1/2019,1/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q4346698,THREE,2129630819,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,33.1,71.1,71.1,131.9,131.9,,1/1/2019,1/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,J1E5TR4349799,THREE,2129630820,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,38,81.8,81.8,151.7,151.7,,2/1/2019,2/28/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q43497100,THREE,2129630820,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,33.1,71.1,71.1,131.9,131.9,,2/1/2019,2/28/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,J1E5TR43525101,THREE,2129630821,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,38,81.8,81.8,151.7,151.7,,3/1/2019,3/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q43525102,THREE,2129630821,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,33.1,71.1,71.1,131.9,131.9,,3/1/2019,3/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,J1E5TR43556103,THREE,2129630822,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,40.2,86.2,86.2,158.7,158.7,,4/1/2019,4/30/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q43556104,THREE,2129630822,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,35,74.9,74.9,138,138,,4/1/2019,4/30/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,J1E5TR43586105,THREE,2129630823,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,40.2,86.2,86.2,158.7,158.7,,5/1/2019,5/31/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q43586106,THREE,2129630823,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,35,74.9,74.9,138,138,,5/1/2019,5/31/2019,50,0,,2000,
MN,METRO,Freedom,20,69,25,J1E5TR43617107,THREE,2129630824,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,40.2,86.2,86.2,158.7,158.7,,6/1/2019,6/30/2019,50,0,,2000,
MN,METRO,Freedom,70,100,25,CSI42Q43617108,THREE,2129630824,Freedom Enhanced w/Ortho $2000 $50/150 Ded $1500 Max 3-Tier Metro,35,74.9,74.9,138,138,,6/1/2019,6/30/2019,50,0,,2000,
