HIOS Plan ID,Plan Marketing Name*,HIOS Product ID*,Network ID*,Service Area ID*,Formulary ID*,Plan Type*,Level of Coverage*,Plan Effective Date*,Plan Expiration Date
57129MN0180040,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS021,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180041,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS022,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180042,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS023,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180043,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS024,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180044,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS025,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180045,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS020,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180046,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS021,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180047,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS022,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180048,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS023,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180049,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS024,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180050,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS025,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180057,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS019,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180058,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS020,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180059,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS021,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180060,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS022,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180061,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS023,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180062,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS024,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180063,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS025,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180064,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS026,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180065,BlueValue HSA Bronze $5500 Plan 654,57129MN018,MNN003,MNS028,MNF005,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180066,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS026,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180067,BlueValue HSA Bronze $6750 Plan 676,57129MN018,MNN003,MNS028,MNF004,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180068,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS026,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180069,BlueValue HSA Silver $4000 Plan 677,57129MN018,MNN003,MNS028,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180070,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS026,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180071,BlueValue Silver $2500 Plan 678,57129MN018,MNN003,MNS028,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180072,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS026,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180073,BlueValue Gold $1000 Plan 680,57129MN018,MNN003,MNS028,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180074,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS026,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180075,BlueValue Platinum No Deductible Plan 682,57129MN018,MNN003,MNS028,MNF002,PPO,Platinum,1/1/2019,12/31/2019
57129MN0180076,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS019,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180077,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS020,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180078,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS021,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180079,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS022,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180080,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS023,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180081,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS024,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180082,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS025,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180083,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS026,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180084,BlueValue Bronze $7900 Plan 540,57129MN018,MNN003,MNS028,MNF003,PPO,Bronze,1/1/2019,12/31/2019
57129MN0180085,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS019,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180086,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS020,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180087,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS021,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180088,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS022,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180089,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS023,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180090,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS024,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180091,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS025,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180092,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS026,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180093,BlueValue Silver $3000 Plan 541,57129MN018,MNN003,MNS028,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180094,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS019,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180095,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS020,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180096,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS021,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180097,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS022,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180098,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS023,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180099,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS024,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180100,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS025,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180101,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS026,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180102,BlueValue Silver $3800 Plan 542,57129MN018,MNN003,MNS028,MNF001,PPO,Silver,1/1/2019,12/31/2019
57129MN0180103,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS019,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180104,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS020,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180105,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS021,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180106,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS022,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180107,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS023,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180108,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS024,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180109,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS025,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180110,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS026,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180111,BlueValue HSA Silver $2700 Plan 543,57129MN018,MNN003,MNS028,MNF005,PPO,Silver,1/1/2019,12/31/2019
57129MN0180112,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS019,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180113,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS020,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180114,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS021,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180115,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS022,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180116,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS023,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180117,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS024,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180118,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS025,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180119,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS026,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180120,BlueValue HSA Silver $4500 Plan 544,57129MN018,MNN003,MNS028,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180121,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS019,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180122,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS020,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180123,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS021,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180124,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS022,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180125,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS023,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180126,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS024,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180127,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS025,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180128,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS026,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180129,BlueValue HSA Silver $3675 Plan 545,57129MN018,MNN003,MNS028,MNF004,PPO,Silver,1/1/2019,12/31/2019
57129MN0180130,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS019,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180131,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS020,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180132,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS021,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180133,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS022,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180134,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS023,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180135,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS024,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180136,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS025,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180137,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS026,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180138,BlueValue Gold $500 Plan 546,57129MN018,MNN003,MNS028,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180139,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS019,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180140,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS020,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180141,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS021,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180142,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS022,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180143,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS023,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180144,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS024,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180145,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS025,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180146,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS026,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180147,BlueValue Gold $2000 Plan 547,57129MN018,MNN003,MNS028,MNF001,PPO,Gold,1/1/2019,12/31/2019
57129MN0180148,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS019,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180149,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS020,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180150,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS021,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180151,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS022,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180152,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS023,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180153,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS024,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180154,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS025,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180155,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS026,MNF004,PPO,Gold,1/1/2019,12/31/2019
57129MN0180156,BlueValue HSA Gold $2200 Plan 548,57129MN018,MNN003,MNS028,MNF004,PPO,Gold,1/1/2019,12/31/2019
